id,observed_on,time_observed_at,scientific_name,common_name,taxon_id
150529290,2023-03-07,2023-03-07 12:31:57 UTC,Accipiter cooperii,Cooper's Hawk,5112
150538693,2023-03-07,2023-03-07 22:38:04 UTC,Meleagris gallopavo,Wild Turkey,906
150570412,2023-03-07,2023-03-07 17:41:54 UTC,Columba livia,Rock Pigeon,3017
150602824,2023-03-08,2023-03-08 21:20:16 UTC,Meleagris gallopavo,Wild Turkey,906
150650158,2023-03-08,2023-03-08 15:20:00 UTC,Certhia americana,Brown Creeper,7458
150650402,2023-03-08,2023-03-08 15:23:00 UTC,Cardinalis cardinalis,Northern Cardinal,9083
150650572,2023-03-08,2023-03-08 15:10:00 UTC,Melanerpes carolinus,Red-bellied Woodpecker,18205
150664308,2023-03-05,2023-03-05 20:31:26 UTC,Anas platyrhynchos domesticus,Domestic Mallard,236935
150664331,2023-03-05,2023-03-05 20:27:11 UTC,Spinus tristis,American Goldfinch,145310
150693128,2023-03-05,2023-03-05 17:45:02 UTC,Branta canadensis,Canada Goose,7089
150711387,2023-03-09,2023-03-09 20:23:50 UTC,Meleagris gallopavo,Wild Turkey,906
150864136,2023-03-11,2023-03-11 22:35:37 UTC,Branta canadensis,Canada Goose,7089
